From,To,Quantity
0x14aaee642a3db0f7ae84f74994de9ee20980ff6a,0x124d9bf2fecbc16b54ec4accdb14d44c2144f012,469097590.76
0x18273dda6fa28eb8a7265762828845cb5c4469c8,0x124d9bf2fecbc16b54ec4accdb14d44c2144f012,2092827107.0
0x1ce7287f50742685a69d0f0b66707247429c1212,0x124d9bf2fecbc16b54ec4accdb14d44c2144f012,2259091606.73
0x26b9a8beb8f15a53e4a7eccfd098e367eff7dbb9,0x124d9bf2fecbc16b54ec4accdb14d44c2144f012,6579922598.99
0x34ac1c12bc09b6f2532800446f404c91bae29d48,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,5250300280.0
0x3b3dc5d42db91ee379a1d42911564b60c738e3b9,0xa3ac0659fe5286c30bfb52caabe2ea332a1354d3,11109460.0
0x3d24da45253fee775c065d0bb590948817f16819,0x124d9bf2fecbc16b54ec4accdb14d44c2144f012,40000000000.0
0x482a1efc09e4c2eb8d33b850a365c37b6043357f,0x75987b9edb5463ce1a3a857e11671424600927a4,232327873.36
0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0x14aaee642a3db0f7ae84f74994de9ee20980ff6a,469097590.76
0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0x18273dda6fa28eb8a7265762828845cb5c4469c8,2092827107.0
0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0x1ce7287f50742685a69d0f0b66707247429c1212,2259091606.73
0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0x26b9a8beb8f15a53e4a7eccfd098e367eff7dbb9,6579922598.99
0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0x482a1efc09e4c2eb8d33b850a365c37b6043357f,232327873.36
0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0x619b4779482ebbf78bab00672ff7c6493f7f5a46,4934903307.12
0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0x7947e3194290195aeb32c4fbe0cb4eaea305aa71,32893159.66
0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0xab4ad0cceab0323e01f9115d2859396cfe33b11e,11944905237.08
0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0xafa8e7bb02eb018106335261df292357e5e50d9b,86425581.37
0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0xcfc1df78e68e47cd2b2abe94fc6af9adb7e4c3ed,2392584770.92
0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0xe6a484bbaa7d6d880b7dda58ae0cc2b50b149cd9,7721329124.45
0x5e5699172f8cd8a3c089f78926b93606733fa8f6,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,40000000000.0
0x619b4779482ebbf78bab00672ff7c6493f7f5a46,0x124d9bf2fecbc16b54ec4accdb14d44c2144f012,4934903307.12
0x7947e3194290195aeb32c4fbe0cb4eaea305aa71,0x4d485d06fabb4f99b5857ddba5d2061275ea5f51,43116423.66
0x971412625c134ee530258e9f7d5df7306e76e25d,0x34ac1c12bc09b6f2532800446f404c91bae29d48,5250300280.0
0xab4ad0cceab0323e01f9115d2859396cfe33b11e,0x124d9bf2fecbc16b54ec4accdb14d44c2144f012,11944905237.08
0xb500db9df160204769b79c41a423dc872e41e9de,0x3d24da45253fee775c065d0bb590948817f16819,40000000000.0
0xb500db9df160204769b79c41a423dc872e41e9de,0x5e5699172f8cd8a3c089f78926b93606733fa8f6,40000000000.0
0xcfc1df78e68e47cd2b2abe94fc6af9adb7e4c3ed,0x124d9bf2fecbc16b54ec4accdb14d44c2144f012,2392584770.92
0xe6a484bbaa7d6d880b7dda58ae0cc2b50b149cd9,0x124d9bf2fecbc16b54ec4accdb14d44c2144f012,7721329124.45
